Element			Symbol	Order#	R	C	Atomic Weight	Density		Atomic Diameter	Terr.Abund.	Coef.of Resis.
--------------------------------------------------------------------------------------------------------------
Actinium        Ac      89      9   3   227.0           -999.0      -999.0          3.0E-10     -999.0
Aluminum        Al      13      3   13  26.98           2.7         2.82            81300.0     2.828
Americium       Am      95      10  9   243.0           -999.0      -999.0          -999.0      -999.0
Antimony        Sb      51      5   15  121.76          6.62        3.228           1.0         39.1
Argon           A       18      3   18  39.944          1.65        3.82            0.04        -999.0
Arsenic         As      33      4   15  74.91           5.73        2.5             5.0         35.0
Astatine        At      85      8   17  210.0           -999.0      -999.0          -999.0      -999.0
Barium          Ba      56      6   2   137.36          3.5         4.48            250.0       60.0
Berkelium       Bk      97      10  11  245.0           -999.0      -999.0          -999.0      -999.0
Beryllium       Be      4       2   2   9.013           1.85        2.25            6.0         10.1
Bismuth         Bi      83      8   15  209.0           9.86        3.64            0.2         119.0
Boron           B       5       2   13  10.82           2.535       -999.0          3.0         -999.0
Bromine         Br      35      4   17  79.916          4.2         2.26            1.62        -999.0
Cadmium         Cd      48      5   12  112.41          8.65        3.042           0.15        7.54
Calcium         Ca      20      4   2   40.08           1.55        3.93            36300.0     4.59
Californium     Cf      98      10  12  246.0           -999.0      -999.0          -999.0      -999.0
Carbon          C       6       2   14  12.011          3.52        1.54            320.0       -999.0
Cerium          Ce      58      7   4   140.13          6.73        3.64            46.1        -999.0
Cesium          Cs      55      6   1   132.91          1.873       5.4             7.0         19.0
Chlorine        Cl      17      3   17  35.457          2.2         1.94            314.0       -999.0
Chromium        Cr      24      4   6   52.01           7.14        2.57            200.0       2.6
Cobalt          Co      27      4   9   58.94           8.71        2.5             23.0        9.7
Copper          Cu      29      4   11  63.54           8.933       2.551           70.0        1.692
Curium          Cm      96      10  10  243.0           -999.0      -999.0          -999.0      -999.0
Dyprosium       Dy      66      7   12  162.46          -999.0      3.54            4.47        -999.0
Einsteinium     E       99      10  13  -999.0          -999.0      -999.0          -999.0      -999.0
Erbium          Er      68      7   14  167.2           4.77        3.5             2.47        -999.0
Europium        Eu      63      7   9   152.0           -999.0      4.08            1.06        -999.0
Fermium         Fm      100     10  14  -999.0          -999.0      -999.0          -999.0      -999.0
Fluorine        F       9       2   17  19.0            1.5         1.36            900.0       -999.0
Francium        Fr      87      9   1   223.0           -999.0      -999.0          -999.0      -999.0
Gadolinium      Gd      64      7   10  156.9           -999.0      3.59            6.36        -999.0
Gallium         Ga      31      4   13  69.72           5.93        2.7             15.0        53.0
Germanium       Ge      32      4   14  72.6            5.46        2.788           7.0         -999.0
